scenario,behavior_case,reference_scenario,reference_behavior_case,market_case,horizon_months,metric,median,p10,p90,probability_positive,probability_negative
employee_ownership_partial,moderate_positive,traditional_company,moderate_positive,default_market,240,cash_end_unrestricted,4.0745362639427185e-10,-1.1641532182693481e-09,2.338109114859291e+07,0.623,0.351
employee_ownership_partial,moderate_positive,traditional_company,moderate_positive,default_market,240,cumulative_net_profit,1.2412581665870156e+06,-758784.4468072058,2.5458875901530255e+07,0.768,0.232
employee_ownership_partial,moderate_positive,traditional_company,moderate_positive,default_market,240,cumulative_operating_profit,2.9152208570595128e+06,921768.8627105404,2.67474538181444e+07,0.991,0.009
employee_ownership_partial,moderate_positive,traditional_company,moderate_positive,default_market,240,cumulative_revenue,-3.659527468188828e+07,-4.5097940745473796e+08,-2.525359077441499e+07,0,1
employee_ownership_partial,moderate_positive,traditional_company,moderate_positive,default_market,240,final_headcount,3.3647568977015485,0.8616087992224447,24.240548216448573,0.984,0.016
employee_ownership_partial,moderate_positive,traditional_company,moderate_positive,default_market,240,productive_capacity_added_total,-3287.9533865225385,-18640.240499090978,-836.6825008965416,0.04,0.96
employee_ownership_partial,moderate_positive,traditional_company,moderate_positive,default_market,240,productive_capacity_growth_rate,0.005151672075100144,0.003336805360164552,0.07030496473503176,1,0
employee_ownership_partial,moderate_positive,traditional_company,moderate_positive,default_market,240,risk_adjusted_employee_income,-44.173133458723896,-5118.274800931285,141.30585946671928,0.388,0.612
employee_ownership_partial,moderate_positive,traditional_company,moderate_positive,default_market,240,sustainable_development_value_proxy,1.2817269256311953e+06,-739174.79013924,3.611537382387193e+07,0.762,0.238
employee_ownership_partial,negative_fairness_free_rider,profit_sharing,negative_fairness_free_rider,default_market,60,average_employee_income_monthly,-1382.5345460110548,-6333.816058142572,-934.6076271272351,0,1
employee_ownership_partial,negative_fairness_free_rider,profit_sharing,negative_fairness_free_rider,default_market,60,capacity_cagr,0.002062242655832769,0.0012849316212976247,0.010626158791758045,1,0
